"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
907,"푸들 강아지 돌려주세요","법적 책임 안문다고 그렇게 멋대로 행동해도 되는겁니까? 따박따박 월급 받고 일하시는 분들이 할일도 없으신가봅니다.직원들이 뭘하고 다니는지 보고도 안받고 뭘하고 다니는지도 모르고. 출장은 어디로 갔는지도 모른다니 참.. 다들 공동체사회가 아니라 개인주의 사회로 회사생활 하시는 분들만 계신가봅니다. 당신들이 사람으로 태어나서 다행인걸로 아세요. 작디 작은 생명이 무슨 잘못을 했다고 그런대우를 받아야하는겁니까? 머리는 장식으로 달고 다니시나봅니다. 생각이라는걸 좀 해보란 말입니다. 당장 푸들아이 제자리로 돌려보내세요.","2016-11-18","2016-11-18","2016-11-21","축산과","처리완료","변산면"
908,"(SPP-1807-2300479)도로옆 수로가 있어 통행 시 차량이나 주민 불편초래.","<불법주정차> 코너 불법주차 (1/2) A : 2018.07.14 09:48:07 (2/2) A : 2018.07.14 09:54:10 A :  : I :  .[  : 1522-0660 ()]","2018-07-23",,"2018-08-02","행안면","처리완료","부안읍"
909,"사유지 불법점거","안녕하세요 송학동 시민입니다  송학동에서 익산역 서부역사로 가는 길을 공사한다고  막아,"2016-08-22","2016-08-22","2016-08-26","주택과","처리완료","부안읍"
910,"중앙 매일시장 주차장","금일 아침 7시 정도인거 같은데요 음식물수거 차량이 길을 막고 있어서끝날때까지 기다리다가 오는데 화가 치밀더 군요. 옆쪽으로 조금만 비켜서 주차하면 문제가 안될거 같은데...차량 통행로 가운데 주차해 놓고, 금방 끝난다고 기다리라는건 또 뭔가요? 수거차량이 주차를 하고  음식물수거를 하기전 제 차가 오는 걸 봤는데도 그렇게 한다는건 평소에그렇게 한다고 볼수 밖에 없는것이고, 그렇게 할수있는건 그렇게 해도 문제될게 없다고 지침을 받았던가없이사는 시민정도야 별거 아니겠거니 하는게 아닐까 싶은데요기다리다 짜증나서 차에서 내려 이동주차 해달라하니, 금방 끝난다는 말만하고민원넣는다 하니까  미안하다는 말도 없이 가버리는데 화도 나고그냥 넘어가면 안되겠다 싶어서 민원 넣습니다. 1. 공무수행중에는 차량 통행로 가운데를 막고, 해도 상관 없는 것인지...?   (공무수행중이니까 타 차량 통행따위는 무시해도 된다는 법규라도 있나요)2. 왜 그 차량은 그시간에 그렇게 할수 밖에 없는 것인지...?   (업무량이 많아 시간에 쫓겨서 그런것인지요) 그 분 잘못 보다는 시에서 운영을 잘못하고 있지는 않나요?해당 게시물이 '부조리 신문고'에서 이동 되었습니다.","2016-09-23","2016-09-23","2016-09-26","민생경제과","처리완료","부안읍"
911,"영등시민공원 시끄러워서 살 수가 없다","익산에 깊이 15m이상 재난전쟁대피소가 어디있나요 알려주세요","2016-05-17","2016-05-17","2016-05-30","체육진흥과","처리완료","덕적골1길"
912,"익산문화체육센터","주민센터를 이용하면서 느끼는 불편이 비단 저에게만 해당되는것이 아니라고 생각하여 글씁니다.(직원의 이름이 거론되어 비공개로 올립니다)1. 주민을 대할때 기분좋은 표정과 상냥한 말소리를 듣고 싶습니다. 서로 얘기할때는 눈 마주치는 것은 기본이겠죠?담당자가 원래 성격인건지 아니면 그날의 기분이 나쁘다하여 민원을 요구하는 주민에게 감정을 다 드러내는 건 프로가 아니라고 생각합니다.2. 민원처리 시 담당자마다 요구하는 필요서류가 다릅니다.  담당자의 업무미숙이라 생각합니다.(예시: 아들의 거주지이전 건으로 주민센터 전화로 필요서류 물어봄. 담당자1은 현 익산 세대주는 글쓴이로 되어 있기때문에 영아의 아들을 익산 세대원으로 옮기려면 글쓴이만 오면 된다고 말함.신동주민센터 방문. 담당자2가 영아는 현재 시아버지가 세대주로 영아와 영아의 아버지가 같은 세대원이기때문에 영아의 아버지의 도장이 필요하다고함.전화로 확인까지 했는데 담당자마다 기준이 다르냐고 따지자 `담당자는 자신인데 자신이 한 말은 아니다`며 말을 끊음. 전화 통화한 담당자1을 찾고 싶었지만 아이를 안고 그러기엔 아니라고 판단하고 참음.다른 날 영아 아버지의 도장을 들고 방문함. 담당자3(이화영 씨)는 시아버지가 세대주기때문에 오거나 도장이 필요하다고 함. 2번째 방문이며 담당자마다 말이 다르느냐하자 `신청서는 미리 작성해왔어야죠` 하며 핀잔 비슷한 말을 하면서 본인 기준만 설명하기 바쁨. 듣고 있던 다른 담당자가 영아의 아버지 도장으로도 가능하다는 말에 본인 실수는 인정하지 않고 입을 다뭄. 한참 뒤에 눈도 안마주치고 머라고 하길래 상황 상 `끝났냐`고 되묻자 끝까지 눈도 안마주치고 `그렇다`고 함.)예시는 글쓴이가 신동주민센터에서 겪은 일이며 같은 업무를 보는 센터 구성원과 또 다른 주민에게도 이러한 문제가 발생할 수 있겠다는 생각에 글을 남깁니다.엎드려 절받겠다는 것이 아니라 주민도 고객으로 기본적인 예의를 지키고, 기분좋게 이용할 수 있는 주민센터가 될 수 있도록 정기적인 관련교육을 진행하였으면 좋겠습니다.아울러 주민들의 신속한 민원처리와 주민들을 대하는데 있어 실시하고 있는 교육이 있는지 궁금합니다.","2018-07-16","2018-07-16","2018-07-17","청소자원과","처리완료","부안읍"
913,"삼기 산업단지 유휴지","2017년도 왕궁정착농원 휴폐업 축사 매입현을 익산시 내규 휴폐업 축사 매입 계획의 소유자인 사람을 대상으로 우선순위를 정한대로 분류하여 그 통계를 알려주시기 바랍니다. 접수현황 한센인1세  명, 한센인2세  명, 일반인기타  명매입현황 하센인1세 명, 한센인2세   명, 일반인기타  명         ","2017-05-13","2017-05-13","2017-05-16","경영개발과","처리완료","하서면"
914,"인도위의 입간판","안녕하세요. 몇주전 익산시 연탄창고에 생후 18일된 새끼들과 어미(흰둥이)가 방치되고 있어 민원을 제기했던 사람입니다.지금 여러분께서 간절한 목소리로 아이들을 구해달라 사정하였고, 축산과 담당자님께서는 잘해결해보겠다며, `방치도 학대다`라고 말씀하시며 저를 안심시키셨습니다.그런데 지금 몇주가 지났는데도 해결되는건 하나도 없고, 아이들은 답답하고 더러운 연탄창고에서 제대로된 사료와 물은 마시기는 커녕 생사 확인조차도 안되고 있습니다.국민들 세금으로 월급 받으시자나요? 그럼 이런 어처구니 없는 상황의 일들을 왜 방치만 하고 해결 못하시나요?한두사람의 목소리도 아니고, 이 많은 사람들이 계속 민원제기를 하고 해결해달라고 목소리를 높이면 좀 더 적극적이고, 합리적인 방법으로 처리를 해주셔야지. 계속 그 할머니 말씀만 듣고 (그 할머니는 아무것도 약속을 지킨게 없습니다.) 괜찮을것이다. 할머니가 잘 보살펴 준다고 했다라는 말도안되는 소리만 해대니.. 그럼 국민 세금으로 월급 왜 받아가세요?일을 해야 월급을 받는거죠. 정당하게 월급 받아가실려면 처음부터 빠짐없이 시민들의 소리를 들어주세요. 그리고 얼렁뚱땅 대충 넘기려고 하지 말고 아이들을 구조해주던지!! 그게 안되겠음 할머니를 설득해서 아이들을 제대로 키울 수 있는 환경을 마련해주시던지! 최소 그 둘중 하나는 해야 되는거 아닙니까?우리들은 뭐 시간이 남아돌아서 맨날 이런글 올리고, 전화하는 줄 아십니까?또 다른 글들중.. 댓글 다신거 보면..어미 고양이를 시 연계 동물병원에 인도하여 중성화 수술을 진행하시겠다고요? 왜요?? 주인이 있는데?? 소유권이 없는 길냥이의 경우에만 해당되는 거 아닌가요? 그렇게 소유권 주장하시는 할머니가 직접 비용 들여서 수술해주셔야지.. 소유권은 주장하면서 아이에게 조금이라도 돈들어가는것은 시에다가 요청한다구요? 이건 말이 안되는거죠.  도대체 익산시청 축산과 담당자님은 당사자와 관련사항 대해 얘기했고, 염려한 점들 안내 했다고 하시는데.. 그냥 안내만 하면 끝이에요?? 그건 누가 못해요~댓글에는 더 궁금한 사항은 축산과 063-859-5769로 문의해달라고 하면서 왜 자리는 맨날 비웁니까?축산과 담당자가 영업직인가요? 맨날 외근가고 출장가고 자리를 비우시네요?제발 부탁드립니다.아이들이 사료를 제대로 먹고 있는지.. 깨끗한 물 공급은 해주는지.. 고양이 특성상 화장실을 가려면 모래가 있어야 하는데 모래는 제대로 비치 되어 있는지.. 아직 어린새끼들과 출산묘가 지낼 수 있는 환경인지...(연탄은 사람호흡기에도 좋지 않지만, 동물에게도 마찬가지로 좋지 않습니다. 계속 그곳에서 지낸다면 호흡기에 분명 문제가 발생한다구요!!)제대로 좀 확인해주세요~ 제발요!! 말만하지마시구요.해결될,"2018-05-15","2018-05-15","2018-05-16","도로공원과","처리완료","부안읍"
915,"왕궁버수","함열읍 와리 3길도로 옆에 살고 있는 시민 입니다 동양아파트에서 함열고등학교 정문 까지 차량이 심하게 과속 합니다 골목과 함께 상권이 있는 도로 여서 주차도많이 있는데 과속하는 차량이 많습니다와리 3길도로는 어린이집 1곳  남여 중고등학교4곳 등하굣길이서 불법주차로 학생과 어린이들 늘 위험합니다이곳은 과속방지턱이 없어서인지 특히 과속하는 차량이 늘고 있고  버스승하차 어린이집 차량이 많이 다니고 있습니다  최소한 방지턱 3개정도는 필요하오니 도로 도색과 방지턱 공사 부탁드립니다","2017-01-05","2017-01-05","2017-01-05","교통행정과","처리완료","부안읍"
916,"전기차 보조금 및 충전소에 관한 문의","안녕하세요익산시 전차차 보조금 지원 및 충전소 설치 대한 계획을 알고 싶습니다..","2017-06-12","2017-06-12","2017-06-14","녹색환경과","처리완료","변산면"
917,"철도송학건널목 도로 포장이라도 좀 해주세요","대학로 빽다방 근처에서 커피를 사가던도중 우회전을 하려던중에 불법주정차 때문에 지나가지 못하고 돌아갔네요 생각없이 주차를 하여서 다른사람들 까지 피해를 보니깐 신고 합니다.","2018-09-21","2018-09-21","2018-09-28","도로공원과","처리완료","부안읍"
918,"[생활불편신고]자전거 불편","전라북도 부안군 줄포면 줄포리 732-18줄포면141 가로등 고장*  *(1/1) G: 2017/10/19 11:55:12G:*","2017-10-19",,"2017-10-26","건설교통과","처리완료","부안읍"
919,"부안군립단원모집의 기준을 알고싶습니다.","전라북도 부안군 부안읍 봉덕리 587-19처리바래요*  *(1/1) C: 2018/02/02 09:50:36G:  *","2018-02-06",,"2018-02-13","문화관광과","처리완료","부안읍"
920,"익산거주 4년차 감상(애견공원 조성 등을 제안하며))","안녕하세요 저는 만 18세인 정경주라고 합니다.다름이 아니라 저번부터 제가 교통카드를 찍는데 고등학생이냐면서 청소년 요금을 찍는 저를 의심을 하는데 법적으로 아직 저는 만 18세인 청소년인데 제가 성인요금을 내야한다고 오늘도 결국 추가요금을 냈습니다. 기사님께서 하시는 말씀이 생일 안지났어도 대학생이면 성인요금을 내야한다고 하셨는데 그럼 술집에 빠른 99년생인 아이들은 왜 못들어가나요? 걔네들도 성인요금내는 대학생인데. 제대로 기사님들께 교육하셨으면 좋겠습니다. 다른 지역 아저씨들은 제가 청소년요금을 내도 별말씀 안하시는데. 불만입니다. 제가 법을 어긴것도 아닌데 제가 마치 법을 어긴것마냥 가르치시는 기사님들 차마 어르신이라 더 따지지 않았는데 익산시청에서 제대로 알려드렸으면 좋겠습니다. 교통카드사에서도 인정하는 청소년이니깐 뭐라 하지말라고요. 특히 333번 아저씨들 매우요. 교육하기가 어려우시다면 여기에 정확히 제가 청소년 요금을 낼수있는 학생이란걸 적어주시면 감사하겠습니다. 항상 수고하시고 감사합니다.","2017-03-25","2017-03-25","2017-03-30","축산과","처리완료","줄포면"
921,"시내버스","마동 도서관 4층 휴게실의 자판기의 소음이 (귀가 멍할 정도 였슴) 워낙 커 휴게실에서 통화 하는 사람이 원활한 통화를 위하여 창문쪽으로 이동하여 큰 소리로 통화하여 1열람실로 통화음이 크게 전달되어 공부한는 사람한테 큰 방해가되고 있었슴2주전쯤 자판기업자와 경비하시는 분한테 연락하고 지난 금요일 4층 휴게실에서 자판기 물건채우러 온 업자에게 대면하여 소음 개선을 요구하였슴어제 퇴근하면서 들러 보니 개선되어 있었음 자판기는 공공도서관 공익성에 맞게 상품 판매하는 곳으로 모으는게 타당할거라 생각되는 군요제2청사 뒤편 어린이집 주차장이 저녁에 너무 어둡습니다  며칠전 11시 넘어 근처지나다가 이상한 소리가 들려 부식배달 차를  경찰에 신고한 적 있슴에너지 절약 보다는 항상 너무 어두워 불안해 보여 저녘에 보안등 같은 것이 필요해 보입니다","2017-05-19","2017-05-19","2017-05-24","교통행정과","처리완료","부안읍"
922,"(SPP-1805-3100169)위쪽 도로로 중앙선이 지워져있습니다 * 첨부파일촬영시","전라북도 부안군 주산면 백석리 산 39-3위쪽 도로로 중앙선이 지워져있습니다*  *(1/1) C: 2018/05/31 10:21:36G:  *","2018-05-31",,"2018-06-08","건설교통과","처리완료","진포1길"
923,"[생활불편신고]도로, 시설물 파손","<도로, 시설물 파손> 부안군 주산방면으로가는 버스 승강장은 언제부턴가 버림받은곳 마냥 너무 흉물 스러운데도부안군은 다른곳은 여러번의 교체와 재시설을 하였으나여긴 그대로이다.군민들이 의자도 주워다 놓고불편한데로 이용하는모습이 너무 보기가 좋지않다기울어진 지붕 안전에도 문제가되는데 안타깝다빠른시일내로 보수를 해주시던지 깔끔하고 안전한 모습으로 바뀌주시길 바랍니다.[  : 부안군 주산방향 승강장 ] (1/2) G : 2018.09.04 08:30:55 (2/2) G : 2018.09.04 08:30:39 A :  : I :   [  : 1522-0660 ()]","2018-09-04",,"2018-09-05","건설교통과","처리완료","계화면"
924,"24815,24819 재질의","전북 익산 북부 시장에 강아지들을 자루에 담아서 판매를 하고 있습니다.살아 있는 동물을 판매 하려면 동물 판매 허가를 받아야 가능합니다.허가 없이 길거리에서 저렇게 팔고 시장에서도 저렇게 파는 행위 다 불법입니다.북부 시장 들어가는 첫 입구 도로변에서 아저씨가 팔고 있습니다.익산 북구청에 동물 판매업 미등록입니다. 업자의 동물 판매 행위는 불법이라는 현수막을 시장에 걸어주세요빠른 대처 부탁드립니다.","2018-02-26","2018-02-26","2018-02-28","교통행정과","처리완료","부안읍"
925,"익산역 앞 변화를 환영하며...","가축사육 등록에 대하여 질문입니다산란닭을 사육하고자 하는데 허가와 등록으로 구분되어 있는 것을 알수 있었습니다(축산법에)허가와 등록 중 등록에 대한 질문입니다.축산법 시행령에 따라 허가와 등록으로 구분되는데 그 기준은 시행령 별표1 축산업의 허가 및 등록기준이 있는 것을 알 수 있습니다 허가는 50제곱미터 초과 등록대상에서 제외되는 가축사육업은 10제곱미터 미만 등록사항으로 40제급미터에 닭을 사육 할 경우 등록 사항으로 규정되어있는데 그 기준은 별표1 2에 규정되어 있는 것을 또한 알 수 있습니다. 그런데 그 규정은 축사시설은 통풍이 잘 이루어지는 구조, 환기 시설을 갖출 것으로 규정 되어 있습니다.질문1. 익산시 조례로 가축사육제한 관련 전부제한은 500m이내 일부제한은 1,000m이내 로 규정하고 있는데 일부제한의 경우가 전부제한보다 거리가 멀어지는데 일부제한이라는 말은 어떻게 해석해야 하는지?질문2 일부제한의 경우 1,000m이내라면 무엇을 일부 제한하는지?질문3 위 거리는 허가사항과 등록 사항 모두에 적용하는지?  ","2018-08-26","2018-08-26","2018-08-27","도시재생과","처리완료","부안읍"
926,"신영시장 옆 공영주차장 맞은편길에 차도를 점유한 과일장사","안녕하세요.군산시민 입니다.일전에 집앞 공사소음관련하여 군산시청 건설과 모 공무원에게 시청조치 민원을 넣었는데,, 결과에 대한 답변을 요구하였으나 답변조차도 없습니다.제가 살고 있는 동수송1길 3-2건물 바로앞에서 건물을 짓고 있습니다.너무시끄럽습니다. 이해는 합니다. 다먹고사는데,허나 새벽부터 시작되는 공사, 주말을 안가리고 새벽부터 일을 시작하는데,,,미칠정도로 괴롭습니다.최소한 가림막이라도 하여 주변 시민들에게 피해를 안주려고 일하는 모습이라도보이든지...10월 15일 오늘 새벽에도 너무 힘들어 경찰 및 도청 민원실에 민원을 넣었으며,,군산시에서 해결을 해야한다는 답변을 받아 글남깁니다.요구하는 건 간단합니다.평일 아침9시이후 공사 및 주말에는 제발 공사를 하지 말도록 조치하여 주기길 바랍니다.이번 민원에도 답변 및 조치가 이루어 지지않으면상위 기관에 민원을 넣을것이며, 군산시에서 제가 남긴글에 대해묵살당하였다고 할 것입니다.제발부탁드립니다.","2017-11-06","2017-11-06",,"건설과","처리중","부안읍"
927,"동군산 병원ㅡ증축 안전에는 문제없나요?옥상에 포크레인작업까지하는데","저는 전라북도 군산 미장동에사는 시민입니다.  전라북도 부안군에서 군산으로 어업을 종사하는 사업가입니다.어제 불법주정차 단속 통지서를 받았습니다. 뜯어서 내용을 보았더니 10월경 1건과 11월경 1건에 대한 단속통지서를 받았습니다. 모든 우편물은 부안에 거주하는지라 부안에 있는 위도에서 우편물이 거쳐서 오다보니 두달정도 걸려서 우편물을 받곤 하다보니  어제서야 확인을 하였습니다.우편물 내용을 보니 불법 주정차 적발한곳을 확인해보니 제가 년동안 한번도 적발이 되지않는곳이며, 미장동 예그린아파트 및 파인빌아파트 주차장은 늘 꽉차있기때문에  파인빌 1차 입구 주변으로 많은 자동차들이 갓길에 주차를 하곤했습니다.그래서 상황확인차 겸사 물어볼겸 군산시청 교통행정과 주정차단속 담당 공무원께 연락을 해서 물어보았습니다.스포티지 차량이 미장동 파인빌아파트 입구 건너편 주변에 주차를 해놓았고 10월~12월 경까지 총6번을 같은곳에서 적발을 하였으며, 총6번의 과태료를 부과하여야한다고 하였습니다. 그래서 제가 너무 당황스럽고 황당해서... 제 상황설명을 하였습니다.주정차단속 통지문을 어제서야 받아봐서 연락한거라고 상황설명을 하였고, 부안에서 우편물이 거쳐서 오다보니 이제야 확인하였다고 했더니, 그건 선생님 사정이니저에게 다 변명이라고 그러더랍니다.저랑 통화하신분이 교통지도계 최형준 담당자신대... 저에게 2건에 대한 과태료를 감경 시켜줄테니까 4건에 대하여 과태료를 납부하라고 합니다.그래서 전화를 끊고 화를 참고 곰곰히 생각해보니까 주변지인들도 그곳에 주차를 많이 한게 생각나서 지인분들 여러명한테 전화를 다해봤더니.. 본인들도 직접 적발이 ,"2017-12-25","2017-12-25",,"건축경관과","처리중","부안읍"
928,"(SPP-1709-1800012)가로등이안들어옴 * 첨부파일촬영시간 안내(안전신문고","전라북도 부안군 부안읍 봉덕리 860부안읍 송학사거리 하이마트 앞 가로등, 밀레 앞, 국민은행앞 가로등켜지지않아요","2017-09-18",,"2017-09-28","진서면","처리완료","상서면"
929,"26284관련","이번에 익산으로 귀농을 하려고 합니다 축산업을 하려고 하니 거리제한이 있어서  마을로부터 많이 떨어져야 하더군요 아이들이 어리고 많다보니 (5자녀) 축사와살집을 같은부지에 신축을 하기로 결정을 하고 전기설비와상수도를 알아보았습니다 마을과 너무 떨어져 있다보니 공사비용이 너무 많이 부과가 되더라고요 귀농귀촌정책에 3가구가 형성이 되면 상수도 설비 비용을 지원 해주는 정책이 있던데요 3가구가 아닌한가구에도 지원 해주셨으면 합니다  시장님  저희에게 도움을 부탁 드립니다","2018-09-06","2018-09-06","2018-09-12","교통행정과","처리완료","부안읍"
930,"(SPP-1801-2600069)처리바래요 * 첨부파일촬영시간 안내(안전신문고 운영관","전라북도 부안군 부안읍 동중리 44-3처리바래요*  *(1/1) C: 2018/01/25 09:31:47G:  *","2018-01-26",,"2018-02-02","푸른도시과","처리완료","부안읍"
931,"건설교통국 복지관광국장 들으시오!!!!","http://blog.naver.com/7788korail/221078320304관련영상 다 보시고 어쩌실껀지 두 국장님께서 말씀하십쇼!!!!자립센터 운영비는 어떻게 회수 할꺼며장애인 콜택시 공금 유용 비리는 어쩌실껀지그리고 수사기관에 이첩해서 법의 심판을 받게 하십시오!!!!!!!!!!!!!!","2017-08-23","2017-08-23",,"교통행정과","처리중","변산면"
932,"(SPP-1710-1900222)계단 뒤틀림으로 보행시 사고 위험 있습니다 * 첨부파","전라북도 부안군 동진면 동전리 805-4도로가 파여서 위험합니다.*  *(1/1) G: 2017/10/13 17:07:28G:*","2017-10-19",,"2017-10-23","부안읍","처리완료","부안읍"
933,"(SPP-1803-1401249)가로등 고장 * 첨부파일촬영시간 안내(안전신문고 운영","전라북도 부안군 줄포면 줄포리 382-26초등학교 앞 신호등이 꺼져있습니다. 조취해주세요.*  *(1/1) C: 2018/03/14 15:05:31G:  *","2018-03-14",,"2018-03-20","부안읍","처리완료","변산면"
934,"쓰레기 불법투기 단속 좀 부탁드립니다","이더위에 이새벽에 악취로 숨쉬기 괴롭고 토할것 같아서이더위에 문을 닫고 있습니다영등동 어양동 주위에 아파트와 건물 뿐인데 어떻게 축사 냄새가 나는지 의문이네요 이시간에 냄새난다고 여기저기서 말이 나오네요여름이라 문열고 사는데 어찌 생활 하라는건지..냄내나는게 한두번도 아니고 자주 생겨나고 있는데원인 조사는 하고 있는지 대책은 있는지 궁금하네요","2017-07-11","2017-07-11","2017-08-02","교통행정과","처리완료","부안읍"
935,"AI살처분 관련 문의드립니다.","뉴스에서 계속 접하다보니 관심이 생겨서 문의드립니다.어디에 문의드려야할지 몰라서요AI로 인해 닭오리 살처분 매몰하면 누가하나요?업체가 있는것 같은데 어떤 요건(회사설립요건등)을 갖쳐야 입찰등 참여할수있구요?슬픈일이지만 관심이 있는데 문의드릴곳이 없어서 여기에 남깁니다.","2017-03-31","2017-03-31","2017-04-14","축산과","처리완료","계화면"
936,"(SPP-1803-2000394)언독리618번지 가로등번호 하서면088 불이 안들어 와",": 전라북도 부안군 동진면 봉황리 299-2가로등 미점등-------------------------------------------------------------------------------------------------------------------------○ .-------------------------------------------------------------------------------------------------------------------------○ .","2018-03-20",,"2018-03-21","하서면","처리완료","변산면"
937,"[안전신고] (SPP-1605-1126348)보안등 줄포면 485, 오전 10시 점등","전라북도 부안군 부안읍 서외리 55-18덜컹거려요. 고쳐주세요.","2016-05-03",,"2016-05-09","줄포면","처리완료","부안읍"
938,"어양동 신우테크 근처 불법현수막 신고","익산대오거리에서 모현동방향으로 출근하는 사람입니다.다름아니라 아침 8시40~9시 사이 경전사앞2차선도로변 에 노란색 유치원 차가 항상 매일 아이를 기다리는지주차하고 있어 직진하는 차량들이 2차선에서 갑자기 멈춰야하는 상황이 발생되어 사고위험도 있고 차량통행이원할하지 않습니다. 어쩌다그러겠거니 했으나 매일 주차되어있습니다.살펴봐주셨으면 감사하겠습니다.    차량번호: 78마 8440","2016-02-17","2016-02-17","2016-02-23","도로관리과","처리완료","부안읍"
939,"원대병원 건너편 택시 정차 단속에 대한 의견","익산시 배산체육공원 사이드에 있는 동물(사슴?, 진돗개) 관리하시나요? 사슴 중 숫사슴으로 보이는 아이 한마리는 어디가 아픈지 절뚝 거리고 피부병인지 유난히 파리가 많이 모여 있더라구요. 또한 진돗개 같은 경우 애들이 많이 말라 있어보입니다. 그리고 철창 안에만 가둬 놓고 있나요? 항상 갈때마다 철창안에 있더라구요. 겉에도 철망 있던데 굳이 안에다가 안가둬 놔도 될거 같은데 어떻게 관리하고 있으신지 궁금합니다. 답변 부탁드립니다.","2017-07-27","2017-07-27","2017-08-25","교통행정과","처리완료","행안면"
940,"마을교육공동체 - 완주군 모델링","주민편의를 위하여 대형마트 휴무시 야외주차장 개방사용","2017-11-06",,,"기획예산과","처리완료","부안읍"
941,"부안읍752 가로등 고장 신고","지방하천 미불용지 및 사유지 지방하천 사용 보상 협의*스캔 참고","2017-03-24",,"2017-03-29","부안읍","처리완료","보안면"
942,"누군 아무데나 농사를 해도 되는건지??","시정에 노고가 많으십니다. 국민신문고  1AA-1608-098184 관련입니다.지난 8월15일 본인은 익산 집앞에 무단 방치되어 있는 폐기물인 상당량의 폐타이어 더미로 인하여 머리가 아플정도의 악취 및 환경 오염과 미관 저해, 시야차단 재산권 침해 등으로 부모님이 고통을 받고 있고, 이를 관련법규에 따라 처리하여 줄 것을 요청하는 민원을 제기하였습니다. 이후 2016.8.22. 익산시청 담당과에서는  2016. 8. 31. 까지 무단방치 폐타이어를 처리하겠다고 답변하였으나, 2016.9.8. 현재까지도 상당량의 폐타이어가 그대로 방치되어 건강상 위협과 위해 요소로 주민생활에 상당한 고통을 주고 있습니다.(무단방치 장소인 랜트카 주차장의 법적 하자 검토에 대한 답변이 없음)그런데도 익산시 담당부서에서는 민원이 완료되었다고 답변하고 있으며, 소극적인 업무처리로 그 직무를 태만히 하고 있습니다. 물론 여러가지 업무로 분주하겠으나 공식적으로 처리를 약속한 만큼 그 이행상황을 철저히 점검하여 직무에 충실해야 한다고 생각됩니다. 처리 방법을 검토하기나 한것인지 의문입니다.  민원업무를 이렇게 소극적으로 처리해서야 되겟습니까?  도대체 현장에가서 확인은 하는건가요?  두손 놓은 공무원들로 인해 주민들은 무작정 고통을 받으며 살아야합니까?최근 순천시에서는 일제 점검을 통하여 시 인근의 무단 방치또는 폐기되어 있는 폐기물 무단투기자 190여명을 적발하고 과태료 부과, 300톤의 폐기물을 처리하고 2건을 고발하였습니다. 또한 수시 점검을 공표한 것으로 알고 있습니다. 이 얼마나 바람직한 일입니까?  연일 계속되는 민원에 고생이 많으신 줄 알고 있으나 분발을 희망합니다.익산시의 성의있는 민원처리와 관련 법규의 철저한 검토 적용과 수사기관 협조 등으로 주민 환경개선 및 환경호르몬을 유발하는 폐기물인 폐타이어의 조속한 처리와 담당 부서와 공무원의 적극적인 직무이행과 성실한 민원 처리를 재차 요청합니다.해당 게시물이 '부조리 신문고'에서 이동 되었습니다.","2016-09-08","2016-09-08","2016-09-20","도로관리과","처리완료","부안읍"
943,"24815 하차장 폐쇄건에 공감하며","항상 시정발전에 애써주셔서 감사드립니다.첨부와같이 제안드리며결과 회신은 불필요하오니타당성이 없을경우 폐기부탁드립립니다.바쁘신데 귀찮게해드려 죄송합니다.감사합니다.","2018-02-23","2018-02-24","2018-02-26","교육정보과","처리완료","진서면"
944,"종량제 봉투문의","안녕하세요.  수고가 많으십니다.다름이 아니라  이번 추석명절에 친정에 갔다가 친정부모님이랑 시장을 보러 가는중 지하차도를들어서는 순간 정말 헉!!!소리가 났습니다. 시장을 보러가려면 지하차도를 꼭 지나가야 하거든요지하차도를 걸어가는 길 옆에 거미줄에 먼지에 정말 너무 심하더라고요... 친정동네는 어르신들이 많으신데  다리 불편하신 어르신들이 걷다가 다리가 아프시면 잡고 설수 있는 곳에 먼지와 거미줄로 가득하니 정말 말이 안나오더라고요..ㅠㅠㅠㅠ몇년전만해도 지하차도없이 다니셨는데 동네가는 길에 기찻길이 있어 사고가 나다보니 지하차도를 만든것 같은데 지하차도 만든뒤로 청소를 한번도 안한듯해요....시청에서 여러가지 일로 바쁘신줄 알지만 어른들이 많이 사시는 동네 하루 시간내셔서 청소를 한번 해주시는게 어떨까요??? 민원시청합니다~","2017-10-16","2017-10-16","2017-10-19","청소자원과","처리완료","부안읍"
945,"국민생활관 김효연님!!!","너무 친절 하시더라구요제가 버스를 타면서 이렇게 친절하신분은 처음 ,"2016-03-04","2016-03-04","2016-03-07","국민생활관","처리완료","부안읍"
946,"전주역에 중국어,영어 안내판과 QR코드를 게시,키오스크 설치","찾아가는 이동도서관 버스 윗면 홍보 랩핑","2016-07-04",,,"기획예산과","처리완료","부안읍"
947,"12월 24일 100번 버스 기사님...자제해주셨으면","12월 24일 5:24 북부시장에 도착한 버스 인데요기사님의 트로트취향은 존중하나 탑승하는 수많은 승객들의 귀를 존중해 주셨으면 합니다. 뽕짝이 젊은 사람들한테는 참으로 듣기 싫은 음악 중 한 장르입니다 교육을 하셨으면 합니다 또한 여긴 홈페이지도 따로 없나요?? 도데체 체계적으로 되어있는게 없어보입니다 좀 익산 시민들이 익산에서 정착할 수 있도록 생활편의를 편리하게 만들어주세요 대도시에서 온 사람은 살기 힘듭니다","2017-12-24","2017-12-24","2017-12-26","교통행정과","처리완료","변산면"
948,"전입신고 장학금 관련","폐상수도 파이프 없애 주세요신축공사에 지장이  있습니다","2017-07-08","2017-07-08","2017-07-10","기획예산과","처리완료","부안읍"
